Channel_Code,Hashcode,Title,Start,Length
c192,40879f1ca12bf114909787b75ffe63b7f9d9ca46,TFou,20220109063000,215
c192,dc9ec1032c0bf9e1560a228828f1377772b2d49a,Automoto,20220109100500,50
c192,210f5073b9edaac398beae3dccb15a3ab32e9c4d,La grande odyssée,20220109105500,5
c192,2e1e5810b9611296a3f2973851f49f2d2a4d85cf,Les douze coups de midi,20220109120000,50
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220109125000,5
c192,ec5b41972a4d86bf2905a45da10c59adee30811b,Habitons demain,20220109125500,5
c192,833ce1f5c0498df44d8d3e242991e26ff966886e,Journal,20220109130000,40
c192,038f66643efec2e8c69144278aaad6950abffbba,Grands reportages,20220109134000,70
c192,ed9df14ad6f3044d9f24795025f320767d4e25e5,Reportages découverte,20220109145000,80
c192,7f192757276c066b6755afe8bc104249d37d52e9,Les docs du week-end,20220109161000,65
c192,aa161dd20e9c1ec69b7e6c8da62597aa482c9f2d,Sept à huit,20220109181500,90
c192,210f5073b9edaac398beae3dccb15a3ab32e9c4d,La grande odyssée,20220109194500,10
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220109195500,5
c192,833ce1f5c0498df44d8d3e242991e26ff966886e,Journal,20220109200000,40
c192,55b50ae1e5e724edce381e9959fef351b1a9c427,"TF1, rendez-vous sport",20220109204000,10
c192,ec5b41972a4d86bf2905a45da10c59adee30811b,Habitons demain,20220109205000,5
c192,f4b0601b478faf1cc58738a26c3b2571899bf25b,Petits plats en équilibre,20220109205500,5
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220109210000,10
c192,a6ce1bd2e112fe0f2af2076e1154c4d0b28b2c9f,Kingsman : le cercle d'or,20220109211000,160
c192,f1113f3997204777a9a7692d120cc61a342e0473,Esprits criminels,20220109235000,45
c192,40879f1ca12bf114909787b75ffe63b7f9d9ca46,TFou,20220110063000,115
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220110082500,5
c192,47fe7e80565a5c4e809b0f39c731ce7f62c37d18,Téléshopping,20220110083000,50
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220110092000,5
c192,7c2371889915e271044d61c6612e57fe93806e02,Familles nombreuses : la vie en XXL,20220110092500,30
c192,7c2371889915e271044d61c6612e57fe93806e02,Familles nombreuses : la vie en XXL,20220110095500,30
c192,7c2371889915e271044d61c6612e57fe93806e02,Familles nombreuses : la vie en XXL,20220110102500,35
c192,e4c8abc34333e74eab551e313c4c9a345219bbb1,Les feux de l'amour,20220110110000,55
c192,f4b0601b478faf1cc58738a26c3b2571899bf25b,Petits plats en équilibre,20220110115500,5
c192,2e1e5810b9611296a3f2973851f49f2d2a4d85cf,Les douze coups de midi,20220110120000,55
c192,f4b0601b478faf1cc58738a26c3b2571899bf25b,Petits plats en équilibre,20220110125500,5
c192,833ce1f5c0498df44d8d3e242991e26ff966886e,Journal,20220110130000,40
c192,f4b0601b478faf1cc58738a26c3b2571899bf25b,Petits plats en équilibre,20220110134000,5
c192,ce2cd46b5ac37cb9a630ef1d2e55f1596ad7b433,Au coeur des Restos du coeur,20220110134500,5
c192,6751b3a8a71ffd38fcc42f9c8ef2c50fcad19589,Météo,20220110135000,5
c192,2e66c2ca8e0242203938eb5cad3840dce2104627,Le frère disparu,20220110135500,105
c192,6b6b5629bb7a4dc13eb93f9fdbcfb818d93cda4f,Une intruse dans ma famille,20220110154000,110
c192,7c2371889915e271044d61c6612e57fe93806e02,Familles nombreuses : la vie en XXL,20220110173000,30
c192,7c2371889915e271044d61c6612e57fe93806e02,Familles nombreuses : la vie en XXL,20220110180000,30
c192,eeafe22e8b9c74810046f7d3ac2ec1c6523ba8f9,Ici tout commence,20220110183000,40
